Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37221,30029,276,0.92,80,0.27,356,1.19,27,0.09,383,1.28,176,0.59,559,1.86,175,0.58,734,2.44,129,0.43,863,2.87,266,0.89,1129,3.76,156,0.52,1285,4.28,95.72,4323,14.4,5608,18.68,1104,3.68,6712,22.35,4296,14.31,11008,36.66,63.34,2036,6.78,13044,43.44,9671,32.21,22715,75.64,4803,15.99,27518,91.64,1111,3.7,28629,95.34,1400,4.66,30029,100
37228,1232,0,0,0,0,0,0,3,0.24,3,0.24,0,0,3,0.24,18,1.46,21,1.7,144,11.69,165,13.39,36,2.92,201,16.31,29,2.35,230,18.67,81.33,264,21.43,494,40.1,0,0,494,40.1,223,18.1,717,58.2,41.80,28,2.27,745,60.47,209,16.96,954,77.44,180,14.61,1134,92.05,53,4.3,1187,96.35,45,3.65,1232,100
37357,3370,21,0.62,14,0.42,35,1.04,29,0.86,64,1.9,42,1.25,106,3.15,42,1.25,148,4.39,60,1.78,208,6.17,92,2.73,300,8.9,128,3.8,428,12.7,87.30,1665,49.41,2093,62.11,163,4.84,2256,66.94,421,12.49,2677,79.44,20.56,162,4.81,2839,84.24,376,11.16,3215,95.4,155,4.6,3370,100,0,0,3370,100,0,0,3370,100
38401,42219,496,1.17,31,0.07,527,1.25,269,0.64,796,1.89,767,1.82,1563,3.7,573,1.36,2136,5.06,726,1.72,2862,6.78,918,2.17,3780,8.95,512,1.21,4292,10.17,89.83,15981,37.85,20273,48.02,2989,7.08,23262,55.1,6002,14.22,29264,69.31,30.69,4317,10.23,33581,79.54,5562,13.17,39143,92.71,2257,5.35,41400,98.06,603,1.43,42003,99.49,216,0.51,42219,100
38451,3187,0,0,0,0,0,0,0,0,0,0,53,1.66,53,1.66,85,2.67,138,4.33,117,3.67,255,8,13,0.41,268,8.41,31,0.97,299,9.38,90.62,1331,41.76,1630,51.15,285,8.94,1915,60.09,450,14.12,2365,74.21,25.79,281,8.82,2646,83.02,439,13.77,3085,96.8,85,2.67,3170,99.47,17,0.53,3187,100,0,0,3187,100
38461,888,53,5.97,6,0.68,59,6.64,0,0,59,6.64,22,2.48,81,9.12,0,0,81,9.12,31,3.49,112,12.61,9,1.01,121,13.63,34,3.83,155,17.45,82.55,367,41.33,522,58.78,43,4.84,565,63.63,138,15.54,703,79.17,20.83,75,8.45,778,87.61,85,9.57,863,97.18,9,1.01,872,98.2,16,1.8,888,100,0,0,888,100
38474,5708,61,1.07,0,0,61,1.07,11,0.19,72,1.26,83,1.45,155,2.72,132,2.31,287,5.03,266,4.66,553,9.69,67,1.17,620,10.86,88,1.54,708,12.4,87.60,2206,38.65,2914,51.05,305,5.34,3219,56.39,713,12.49,3932,68.89,31.11,552,9.67,4484,78.56,901,15.78,5385,94.34,258,4.52,5643,98.86,19,0.33,5662,99.19,46,0.81,5708,100
38476,810,35,4.32,0,0,35,4.32,20,2.47,55,6.79,106,13.09,161,19.88,0,0,161,19.88,43,5.31,204,25.19,8,0.99,212,26.17,13,1.6,225,27.78,72.22,249,30.74,474,58.52,37,4.57,511,63.09,84,10.37,595,73.46,26.54,150,18.52,745,91.98,50,6.17,795,98.15,15,1.85,810,100,0,0,810,100,0,0,810,100
38482,1107,8,0.72,0,0,8,0.72,32,2.89,40,3.61,15,1.36,55,4.97,19,1.72,74,6.68,80,7.23,154,13.91,0,0,154,13.91,39,3.52,193,17.43,82.57,350,31.62,543,49.05,61,5.51,604,54.56,105,9.49,709,64.05,35.95,164,14.81,873,78.86,134,12.1,1007,90.97,79,7.14,1086,98.1,21,1.9,1107,100,0,0,1107,100
38483,3785,157,4.15,9,0.24,166,4.39,0,0,166,4.39,137,3.62,303,8.01,143,3.78,446,11.78,125,3.3,571,15.09,65,1.72,636,16.8,95,2.51,731,19.31,80.69,1631,43.09,2362,62.4,212,5.6,2574,68.01,459,12.13,3033,80.13,19.87,346,9.14,3379,89.27,292,7.71,3671,96.99,81,2.14,3752,99.13,6,0.16,3758,99.29,27,0.71,3785,100
38487,720,9,1.25,0,0,9,1.25,0,0,9,1.25,12,1.67,21,2.92,16,2.22,37,5.14,51,7.08,88,12.22,43,5.97,131,18.19,0,0,131,18.19,81.81,284,39.44,415,57.64,67,9.31,482,66.94,118,16.39,600,83.33,16.67,37,5.14,637,88.47,44,6.11,681,94.58,39,5.42,720,100,0,0,720,100,0,0,720,100
